2026-01-03 07:21:26,613 p=94759 u=dgoldgar n=ansible ERROR| [ERROR]: Unable to read source file (/Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/group_vars/all/vault.yml): [Errno 2] No such file or directory: '/Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/group_vars/all/vault.yml'
2026-01-04 22:56:28,336 p=58295 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:30,793 p=58296 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:30,793 p=58296 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:33,261 p=58297 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:33,261 p=58297 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:35,752 p=58298 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:35,752 p=58298 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:38,234 p=58301 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:38,234 p=58301 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:41,053 p=58313 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:41,053 p=58313 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:43,527 p=58314 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:43,527 p=58314 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:45,985 p=58317 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:45,985 p=58317 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:48,456 p=58318 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:48,457 p=58318 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:50,920 p=58320 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:50,921 p=58320 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:54,091 p=58331 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:54,091 p=58331 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:56,585 p=58334 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:56,585 p=58334 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:59,069 p=58335 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:59,069 p=58335 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:01,543 p=58336 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:01,543 p=58336 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:03,997 p=58341 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:03,997 p=58341 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:07,278 p=58353 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:07,278 p=58353 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:09,709 p=58355 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:09,709 p=58355 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:12,174 p=58356 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:12,174 p=58356 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:14,659 p=58357 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:14,659 p=58357 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:17,172 p=58359 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:17,172 p=58359 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:20,233 p=58370 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:20,233 p=58370 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:22,722 p=58371 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:22,722 p=58371 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:25,190 p=58372 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:25,190 p=58372 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:27,659 p=58374 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:27,659 p=58374 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:30,117 p=58375 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:30,118 p=58375 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:33,238 p=58386 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:33,238 p=58386 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:35,710 p=58387 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:35,710 p=58387 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:38,191 p=58389 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:38,191 p=58389 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:40,653 p=58391 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:40,653 p=58391 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:43,130 p=58392 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:43,130 p=58392 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:45,706 p=58405 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:45,706 p=58405 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:48,206 p=58407 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:48,206 p=58407 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:50,688 p=58410 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:50,688 p=58410 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:53,159 p=58412 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:53,160 p=58412 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:55,628 p=58413 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:55,628 p=58413 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:57:58,682 p=58425 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:57:58,682 p=58425 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:58:01,150 p=58426 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:58:01,150 p=58426 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:58:03,631 p=58428 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:58:03,631 p=58428 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:58:06,095 p=58434 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:58:06,096 p=58434 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:58:08,584 p=58436 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:58:08,584 p=58436 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:58:12,522 p=58450 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:58:12,522 p=58450 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:58:13,046 p=58452 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 22:58:13,071 p=58452 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 22:58:14,764 p=58452 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 22:58:31,468 p=58538 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:58:31,468 p=58538 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:58:31,984 p=58540 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 22:58:32,009 p=58540 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 22:58:33,684 p=58540 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 22:58:50,706 p=58625 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:58:50,706 p=58625 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:58:51,201 p=58626 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 22:58:51,225 p=58626 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 22:58:51,911 p=58626 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 22:59:09,690 p=58704 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:59:09,690 p=58704 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:59:10,202 p=58705 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 22:59:10,227 p=58705 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 22:59:11,913 p=58705 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 22:59:28,914 p=58784 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:59:28,914 p=58784 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:59:29,429 p=58785 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 22:59:29,455 p=58785 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 22:59:30,137 p=58785 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 22:59:47,907 p=58866 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:59:47,907 p=58866 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:59:48,404 p=58867 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 22:59:48,427 p=58867 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 22:59:49,113 p=58867 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 23:00:07,885 p=58954 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 23:00:07,885 p=58954 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 23:00:08,375 p=58955 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 23:00:08,400 p=58955 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 23:00:09,095 p=58955 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 23:00:27,060 p=59036 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 23:00:27,060 p=59036 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 23:00:27,545 p=59037 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 23:00:27,569 p=59037 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 23:00:28,210 p=59037 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 23:00:46,243 p=59119 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 23:00:46,243 p=59119 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 23:00:46,730 p=59120 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 23:00:46,754 p=59120 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 23:00:47,450 p=59120 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 23:01:05,403 p=59200 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 23:01:05,403 p=59200 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 23:01:05,885 p=59201 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 23:01:05,909 p=59201 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 23:01:06,637 p=59201 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 23:01:25,095 p=59292 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 23:01:25,095 p=59292 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 23:01:25,584 p=59293 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 23:01:25,609 p=59293 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 23:01:26,259 p=59293 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 23:01:44,296 p=59376 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 23:01:44,296 p=59376 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 23:01:44,789 p=59377 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 23:01:44,813 p=59377 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 23:01:45,504 p=59377 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 23:01:54,739 p=59475 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 23:01:54,739 p=59475 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 23:01:55,224 p=59484 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 23:01:55,249 p=59484 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 23:01:56,900 p=59484 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:23:13,929 p=62901 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:23:13,955 p=62901 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:23:15,166 p=62901 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:23:19,041 p=62946 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:23:19,062 p=62946 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:23:19,871 p=62946 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:23:19,874 p=62946 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-05 08:23:19,884 p=62946 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-05 08:23:19,886 p=62946 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-05 08:23:20,230 p=62946 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-05 08:23:20,234 p=62946 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-05 08:23:20,238 p=62946 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-05 08:23:20,805 p=62946 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:23:20,808 p=62946 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-05 08:23:21,302 p=62946 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:23:21,305 p=62946 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-05 08:23:21,306 p=62946 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:23:21,306 p=62946 u=dgoldgar n=ansible INFO| PLAY [Homeassistant] ***********************************************************
2026-01-05 08:23:21,306 p=62946 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:23:21,307 p=62946 u=dgoldgar n=ansible INFO| PLAY [Nginx] *******************************************************************
2026-01-05 08:23:21,307 p=62946 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:23:21,308 p=62946 u=dgoldgar n=ansible INFO| PLAY [Frigate] *****************************************************************
2026-01-05 08:23:21,308 p=62946 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:23:21,309 p=62946 u=dgoldgar n=ansible INFO| PLAY [Applications Host] *******************************************************
2026-01-05 08:23:21,309 p=62946 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-05 08:23:21,309 p=62946 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-05 08:23:21,309 p=62946 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-05 08:23:21,807 p=63060 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:23:21,828 p=63060 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:23:22,515 p=63060 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:24:03,968 p=63266 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:24:03,993 p=63266 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:24:04,647 p=63266 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:24:09,112 p=63312 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:24:09,137 p=63312 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:24:09,793 p=63312 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:24:29,715 p=63422 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:24:29,740 p=63422 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:24:31,424 p=63422 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:24:34,865 p=63466 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:24:34,890 p=63466 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:24:35,587 p=63466 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:24:56,137 p=63589 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:24:56,162 p=63589 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:24:56,800 p=63589 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:25:01,294 p=63635 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:25:01,319 p=63635 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:25:01,974 p=63635 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:25:22,561 p=63744 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:25:22,585 p=63744 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:25:23,248 p=63744 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:25:27,726 p=63787 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:25:27,751 p=63787 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:25:28,396 p=63787 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:25:49,049 p=63897 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:25:49,075 p=63897 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:25:50,769 p=63897 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:25:54,168 p=63949 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:25:54,193 p=63949 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:25:54,912 p=63949 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:26:15,525 p=64063 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:26:15,551 p=64063 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:26:16,242 p=64063 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:26:20,662 p=64106 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:26:20,688 p=64106 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:26:22,393 p=64106 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:26:42,023 p=64214 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:26:42,050 p=64214 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:26:42,773 p=64214 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:26:47,133 p=64258 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:26:47,159 p=64258 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-05 08:26:47,820 p=64258 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-05 08:27:08,459 p=64371 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-05 08:27:08,483 p=64371 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
